台北市,10912,11001,11002,11003,11004,11005,11006,11007,11008,11009,11010,11011,11012,11101,11102,11103,11104,11105,11106,11107,11108,11109,11110,11111,11112,11201,11202,11203,11204,11205,11206,11207,11208,11209,11210,11211,11212,11301,11302,11303,11304,11305,11306,11307,11308,11309,11310,11311,11312
松山區,-247,-293,-311,-574,-431,-469,-373,-794,-894,-989,-376,-551,-678,-858,"-1,015","-1,491","-1,005",-805,-22,33,-47,-265,481,870,"1,174",886,382,566,387,422,272,288,-48,-202,334,264,355,97,116,142,69,-21,-104,-117,-191,-664,-319,-230,-77
信義區,-434,-510,-481,-899,-716,-631,-342,-565,-779,-825,-644,-559,-601,"-1,270",-805,"-1,238",-940,-671,-462,-95,140,204,452,668,854,708,228,524,540,253,264,355,71,-8,233,77,153,-80,-120,-196,79,-111,-20,-117,-249,-210,-180,-172,-73
大安區,-280,-633,-702,-443,-861,-891,-960,"-1,275","-1,450","-1,412",-767,-635,-830,-974,-710,"-1,287",-708,"-1,565","-3,447","-1,600",73,-301,"1,119","1,693","1,561","1,447",823,"1,213","1,032",938,718,347,-32,29,508,432,498,35,85,173,159,-86,-19,-342,-447,-442,-363,-32,-66
中山區,-531,-397,-445,-670,-611,-714,-414,-687,-778,-903,-897,-691,-993,"-1,003","-1,346","-1,244","-1,465",-577,127,182,120,177,655,865,"1,135",748,226,576,465,436,361,480,91,76,219,104,192,26,-52,-153,86,-64,25,-82,-200,-42,-162,-90,-201
中正區,-9,-104,-208,-280,-304,-358,-408,-479,-694,-605,-560,-299,-387,-636,-593,"-1,065",-739,-445,90,-88,-126,-74,394,584,619,459,240,457,312,311,206,183,-152,-172,60,196,175,38,27,57,28,-166,-186,-16,-356,-495,-304,-164,-110
大同區,-106,-145,-146,1,-132,-220,-102,-180,-513,-439,-258,-412,-274,-508,-316,-639,-740,-58,11,-80,-81,84,344,251,335,339,133,205,140,135,112,51,65,13,38,47,81,29,3,60,-74,-15,-33,-163,-120,-17,-153,-91,-183
萬華區,-274,-364,-338,-607,-465,-584,-329,-382,-507,-489,-525,-592,-495,-597,-517,-903,-986,-123,-57,50,24,-10,191,278,109,284,84,190,108,71,59,258,173,46,146,-106,-6,-147,-113,-103,-59,-122,-56,-82,-15,-47,-129,-78,-132
文山區,-355,-232,-288,-576,-472,-545,-308,-534,-817,-746,-648,-555,-716,-899,-844,"-1,441","-1,329",-532,20,62,-154,71,392,575,657,734,233,389,370,282,396,179,2,-102,266,190,161,16,-51,-20,-100,-88,-43,-116,-150,-387,-264,-300,-348
南港區,-231,-184,-243,-296,-244,-160,-155,-245,-334,-289,-161,-268,-384,-415,-361,-705,-632,49,18,22,-69,58,31,132,97,159,-96,60,80,33,53,26,-24,5,42,-12,-10,-67,-9,-92,-80,-95,-121,-105,-53,-215,-177,-166,-152
內湖區,-346,-551,-449,-552,-396,-503,-288,-524,-733,-745,-402,-732,-545,-874,"-1,038","-1,455","-1,621",-224,-59,2,-100,-32,326,479,757,843,326,461,339,316,214,207,-122,9,153,75,137,-18,-48,-133,-210,-131,-103,-187,-426,-614,-390,-334,-274
士林區,-505,-429,-580,-748,-730,-597,-394,-636,-773,-851,-601,"-1,044","-1,075","-1,043",-970,"-1,460","-1,478",-907,-392,80,3,-145,568,739,747,836,244,420,292,244,263,349,-171,-29,212,59,104,-16,-95,-47,-57,-201,-47,-230,-162,-515,-334,-214,-313
北投區,-199,-271,-358,-472,-279,-437,-360,-528,-523,-868,-630,-257,-309,-656,-966,-719,-457,-829,-985,-10,-47,-71,189,456,582,578,192,395,68,378,143,133,-48,-69,98,90,208,-73,-95,21,-135,-102,-66,-50,-149,-196,-317,-192,-280
總計,"-3,517","-4,113","-4,549","-6,116","-5,641","-6,109","-4,433","-6,829","-8,795","-9,161","-6,469","-6,595","-7,287","-9,733","-9,481","-13,647","-12,100","-6,687","-5,158","-1,442",-264,-304,"5,142","7,590","8,627","8,021","3,015","5,456","4,133","3,819","3,061","2,856",-195,-404,"2,309","1,416","2,048",-160,-352,-291,-294,"-1,202",-773,"-1,607","-2,518","-3,844","-3,092","-2,063","-2,209"