新北市,11001,11002,11003,11004,11005,11006,11007,11008,11009,11010,11011,11012,11101,11102,11103,11104,11105,11106,11107,11108,11109,11110,11111,11112,11201,11202,11203,11204,11205,11206,11207,11208,11209,11210,11211,11212,11301,11302,11303,11304,11305,11306,11307,11308,11309,11310,11311,11312
板橋區,556901,556682,556590,556475,556175,555747,555551,555168,554344,553784,553331,552713,552249,551455,550089,548208,547993,547735,547817,547724,547708,548043,548636,549572,550723,551221,551806,552316,552832,553121,553559,553790,554063,554240,554218,554247,554201,554234,554219,554252,554154,554145,554061,554061,554151,554011,553898,553538
三重區,384975,384769,384422,384124,383805,383566,383135,383042,382776,382326,381986,381731,381292,380748,380185,378878,378736,378575,378723,378885,378978,378963,379367,379825,380502,380699,381001,381283,381552,381820,382386,382762,383212,383305,383259,383108,382957,382933,382781,382821,382712,382694,382871,383077,383336,383382,383329,383355
中和區,410834,410749,410274,410032,409649,409235,408654,408472,407910,407364,406757,406140,405365,404694,402983,401086,400861,400826,401059,401296,401580,401841,402447,403109,404011,404341,404946,405371,405688,405947,406573,406806,407076,407182,407232,407273,407169,406974,406678,406771,406467,406353,406183,406041,406128,406221,406100,405956
永和區,219171,219077,218935,218836,218652,218180,217795,217238,216713,216484,215910,214967,214187,213734,212805,211493,211153,210969,210836,210814,210755,211029,211456,212170,212889,213227,213707,214048,214309,214475,214610,214569,214505,214599,214557,214771,214736,214684,214807,214748,214678,214568,214398,214319,213998,213831,213772,213742
新莊區,422851,423014,423050,423081,422978,422872,422668,422399,422118,421969,421758,421381,420967,420598,419541,418408,418289,418345,418443,418548,418843,419008,419376,419966,420806,421248,421614,422003,422431,422727,423211,423463,423476,423464,423577,423607,423653,423675,423833,423880,423829,423887,423722,423663,423730,423786,423680,423503
新店區,303293,303180,303015,302753,302503,302126,301768,301550,301209,300881,300159,299696,299141,298671,297535,294900,294966,295112,295565,295842,296249,296811,297569,298594,299604,300178,300897,301433,302110,302720,303380,303743,304191,304487,304651,304868,305113,305304,305393,305362,305501,305721,305924,306060,306351,306524,306557,306571
樹林區,183302,183167,183066,182977,182849,182831,182668,182573,182497,182311,182121,181903,181620,181422,180950,180474,180044,179841,179791,179822,179773,179845,179881,180067,180293,180272,180340,180388,180372,180395,180615,180708,180808,180765,180767,180658,180521,180416,180218,180095,179937,179839,179687,179572,179331,179249,179177,178981
鶯歌區,87673,87675,87669,87739,87850,87947,88131,88101,88131,88142,88126,88131,88178,88091,88044,87897,87920,87954,88053,88181,88209,88251,88299,88406,88486,88527,88555,88586,88722,88760,88883,88841,88894,88986,89003,89080,89064,89084,89096,89039,89089,89084,89098,89155,89240,89271,89324,89339
三峽區,116866,116801,116770,116755,116708,116648,116549,116361,116280,116165,116101,116019,115906,115862,115653,115272,115185,115153,115097,115040,115069,115122,115152,115274,115428,115443,115543,115519,115567,115586,115691,115688,115650,115623,115600,115608,115571,115564,115484,115407,115367,115385,115363,115311,115318,115343,115325,115335
淡水區,183488,183682,183959,184106,184240,184256,184450,184689,184969,184984,185041,185197,185197,185077,184821,184660,184192,184490,184923,185400,185918,186371,187008,187823,188611,189271,189960,190434,190929,191494,192142,192667,193205,193679,194025,194399,194986,195473,195869,196302,196916,197290,197774,198307,199004,199604,200207,200726
汐止區,205788,205853,205807,205883,205812,205577,205551,205663,205870,205865,205879,205990,205909,205819,205580,204892,204619,204381,204671,204961,205171,205353,205651,206265,206724,207004,207424,207693,208008,208259,208663,208989,209210,209431,209523,209481,209578,209621,209670,209717,209756,209798,209936,210068,210395,210633,210746,210817
瑞芳區,38993,38950,38904,38857,38839,38810,38764,38701,38620,38586,38543,38449,38363,38313,38248,38157,38039,37972,37914,37824,37772,37721,37707,37695,37678,37607,37525,37516,37483,37445,37417,37369,37306,37276,37236,37197,37136,37026,36938,36893,36810,36781,36745,36634,36515,36472,36382,36330
土城區,238192,238266,238300,238247,238114,238020,238020,237975,237820,237614,237525,237484,237389,237299,236872,236333,236198,236217,236403,236502,236639,236872,237093,237538,238009,238250,238668,239025,239415,239747,240132,240197,240394,240566,240656,240828,240900,241037,241129,241098,241093,241006,240974,240996,241155,241144,241135,241224
蘆洲區,202536,202541,202544,202507,202410,202258,202131,201973,201903,201725,201688,201489,201339,201274,200865,200505,199964,199700,199722,199573,199535,199543,199634,199811,200074,200092,200235,200262,200185,200149,200320,200303,200151,200108,200058,200022,199939,199893,199744,199509,199243,199106,199022,198922,198727,198608,198543,198359
五股區,89529,89576,89642,89812,89842,89949,90027,90194,90375,90416,90442,90465,90519,90446,90420,90302,90465,90546,90699,90892,91019,91100,91211,91436,91684,91719,91795,91921,92013,92090,92306,92418,92471,92596,92662,92754,92869,92892,93019,93196,93478,93474,93577,93682,93798,93860,93849,93860
泰山區,78399,78398,78276,78100,78010,77996,77862,77832,77681,77603,77544,77451,77413,77311,77190,77013,76775,76750,76722,76769,76776,76759,76859,76982,77094,77169,77190,77164,77183,77190,77277,77335,77371,77365,77416,77491,77547,77571,77617,77591,77641,77641,77646,77614,77623,77575,77593,77667
林口區,121437,121728,122169,122561,122792,122892,123095,123388,123879,124134,124290,124628,124785,124838,124812,124482,124639,124928,125394,125839,126258,126670,127223,127887,128474,128929,129542,129953,130429,130757,131225,131606,131965,132311,132616,132947,133306,133637,133911,134221,134544,134786,135050,135239,135433,135678,135787,136075
深坑區,23742,23766,23769,23768,23774,23743,23730,23736,23718,23678,23639,23646,23585,23552,23489,23429,23427,23443,23420,23412,23456,23479,23512,23528,23599,23631,23653,23653,23673,23686,23691,23683,23708,23695,23706,23689,23699,23686,23666,23665,23660,23633,23612,23593,23593,23629,23623,23636
石碇區,7562,7546,7523,7493,7503,7495,7487,7489,7496,7507,7503,7487,7483,7461,7428,7400,7370,7340,7332,7332,7323,7308,7287,7292,7275,7262,7251,7227,7212,7212,7207,7207,7186,7184,7173,7166,7139,7126,7114,7108,7088,7099,7109,7117,7103,7094,7078,7068
坪林區,6700,6695,6690,6689,6688,6687,6670,6662,6656,6646,6630,6619,6626,6604,6606,6594,6586,6577,6575,6560,6556,6559,6562,6553,6559,6547,6524,6519,6505,6507,6510,6494,6481,6468,6452,6446,6437,6438,6425,6416,6396,6396,6374,6368,6352,6337,6318,6324
三芝區,22529,22512,22499,22498,22487,22469,22460,22445,22408,22407,22378,22357,22311,22254,22224,22145,22160,22158,22159,22190,22161,22204,22240,22228,22252,22190,22177,22188,22175,22163,22133,22113,22119,22139,22131,22137,22113,22099,22070,22098,22074,22072,22044,22044,22047,22063,22086,22080
石門區,11475,11463,11400,11367,11353,11329,11303,11272,11243,11225,11208,11193,11167,11149,11108,11067,11039,11042,11019,11000,10978,10977,10966,10961,10948,10923,10902,10892,10867,10842,10825,10801,10790,10790,10777,10752,10730,10699,10682,10660,10619,10595,10565,10544,10498,10453,10424,10397
八里區,39751,39720,39711,39731,39734,39791,39799,39919,40012,40080,40145,40178,40175,40143,40111,40060,40203,40265,40417,40545,40640,40706,40787,40902,41020,41032,41097,41180,41257,41308,41518,41664,41847,41920,41954,41966,42004,41992,41990,42025,42083,42112,42225,42274,42445,42565,42631,42674
平溪區,4412,4403,4382,4379,4372,4360,4354,4336,4339,4344,4341,4333,4322,4313,4315,4313,4301,4302,4315,4317,4314,4298,4290,4268,4263,4253,4227,4217,4197,4195,4174,4160,4154,4153,4145,4134,4132,4120,4111,4103,4104,4095,4089,4077,4071,4059,4060,4049
雙溪區,8436,8423,8398,8370,8351,8329,8307,8291,8276,8263,8244,8235,8215,8201,8227,8219,8182,8155,8176,8158,8158,8159,8133,8102,8105,8079,8040,8033,8020,8009,8003,7973,7955,7948,7923,7915,7895,7876,7855,7828,7803,7788,7771,7743,7727,7713,7705,7686
貢寮區,11751,11754,11731,11689,11682,11676,11658,11630,11605,11588,11571,11534,11504,11496,11474,11440,11392,11377,11351,11336,11324,11300,11290,11260,11237,11211,11177,11138,11097,11077,11076,11064,11045,11020,10998,10981,10957,10946,10905,10884,10864,10838,10810,10791,10784,10761,10753,10719
金山區,21096,21062,21022,21016,20977,20963,20926,20916,20883,20861,20844,20844,20823,20797,20734,20696,20677,20668,20660,20644,20606,20605,20592,20577,20570,20546,20551,20517,20506,20494,20482,20459,20422,20401,20397,20366,20326,20331,20296,20286,20269,20239,20210,20203,20149,20130,20097,20059
萬里區,21672,21654,21599,21554,21555,21549,21542,21548,21536,21545,21513,21462,21404,21343,21258,21174,21168,21156,21128,21135,21138,21139,21111,21101,21093,21047,21012,20975,20977,20958,20954,20930,20946,20918,20890,20869,20843,20819,20764,20766,20785,20802,20796,20783,20762,20717,20662,20622
烏來區,6420,6387,6358,6331,6315,6333,6343,6335,6365,6372,6369,6391,6378,6340,6313,6306,6298,6294,6299,6299,6312,6327,6337,6359,6356,6327,6300,6291,6269,6272,6293,6300,6310,6329,6344,6360,6348,6345,6303,6290,6276,6264,6262,6260,6258,6273,6271,6309
總計,4029774,4029493,4028474,4027730,4026019,4023634,4021398,4019898,4017632,4014869,4011586,4008113,4003812,3999305,3989880,3975803,3972841,3972271,3974683,3976840,3979218,3982363,3987676,3995551,4004367,4008245,4013659,4017745,4021983,4025405,4031256,4034102,4036911,4038948,4039946,4041120,4041869,4042495,4042587,4043031,4043236,4043491,4043898,4044518,4046022,4046986,4047112,4047001