桃園市,11001,11002,11003,11004,11005,11006,11007,11008,11009,11010,11011,11012,11101,11102,11103,11104,11105,11106,11107,11108,11109,11110,11111,11112,11201,11202,11203,11204,11205,11206,11207,11208,11209,11210,11211,11212,11301,11302,11303,11304,11305,11306,11307,11308,11309,11310,11311,11312
桃園區,457382,457772,458166,458405,458376,458625,458824,458783,458841,458888,458866,458847,459009,458794,458823,457815,457557,457849,458458,459035,459656,460324,461086,462338,463764,464480,465606,466375,466375,467631,468471,468994,469302,469803,470259,470683,471184,471519,472022,472272,472858,473399,473792,474167,474615,475085,475515,475798
中壢區,422582,422698,422726,422635,422582,422662,422582,422671,422761,422658,422564,422529,422207,421918,421476,420556,420311,420447,420793,421113,421374,421806,422578,423722,424945,425604,426326,426897,426897,428274,428994,429681,430140,430582,430895,431255,431586,431867,432146,432307,432680,432887,433209,433372,433904,434318,434738,435050
平鎮區,228647,228667,228580,228609,228594,228687,228672,228547,228344,228230,228210,228203,227925,227807,227496,227108,227047,227090,227099,227186,227244,227446,227602,227810,228175,228325,228513,228534,228534,228934,229190,229347,229385,229481,229617,229686,229715,229665,229633,229608,229503,229549,229431,229522,229395,229367,229250,229389
八德區,209219,209191,209212,209234,209290,209404,209448,209516,209661,209739,209634,209665,209585,209536,209447,209057,209065,209117,209134,209148,209266,209397,209634,209952,210406,210639,210857,211084,211084,211564,212033,212477,212846,213055,213249,213403,213620,213768,213855,213913,214042,214077,214170,214301,214428,214522,214585,214690
楊梅區,175278,175449,175715,175795,175836,17654,176189,176318,176393,176529,176644,176757,176911,176953,176704,176421,176413,176471,176694,176881,177099,177184,177344,177602,177936,178178,178385,178626,178626,178925,179172,179383,179587,179815,179945,180032,180121,180138,180214,180370,180468,180635,180723,180849,181134,181397,181519,181526
大溪區,95601,95572,95500,95352,95276,95291,95240,95200,95117,95074,95002,94870,94804,94708,94486,94306,94222,94171,94173,94192,94139,94151,94265,94313,94442,94475,94549,94556,94556,94770,94828,94847,94783,94701,94648,94607,94634,94581,94564,94612,94602,94587,94520,94500,94508,94450,94446,94404
蘆竹區,166994,166893,166828,166800,166744,166678,166690,166769,166585,166570,166476,166394,166300,166194,166386,166157,165914,166018,166124,166315,166292,166448,166788,167205,167554,167654,167729,168026,168026,168429,168782,168848,168845,169024,169167,169237,169249,169215,169279,169404,169472,169493,169499,169544,169664,169748,169810,169936
大園區,93855,93843,93829,93857,93814,93765,93663,93507,93145,92839,92675,92172,91479,90416,87241,86968,86849,86747,86775,86762,86698,86643,86456,85991,86055,86007,86026,86022,86022,86158,86182,86283,86441,86496,86530,86634,86698,86693,86772,86846,87004,87142,87310,87448,87631,87686,87860,88166
龜山區,164462,164619,164933,165141,165261,165501,165716,166044,166285,166327,166497,166767,167005,167105,167612,168057,168200,168658,169384,170159,170765,171288,171666,172274,172912,173643,174258,174703,174703,175883,176598,177095,177539,177761,177985,178297,178602,178902,179214,179518,179968,180401,181098,181779,182522,182954,183469,183895
龍潭區,124402,124408,124402,124366,124368,124406,124481,124475,124454,124459,124418,124442,124373,124291,124251,124027,124029,124159,124457,124474,124553,124679,124757,124973,125252,125324,125446,125560,125560,125740,125954,126323,126431,126542,126570,126603,126648,126647,126750,126804,126800,126879,126941,127007,127063,127111,127171,127270
新屋區,49313,49319,49273,49250,49218,49231,49237,49205,49202,49169,49119,49094,49108,49103,49127,49060,49046,49012,49045,49089,49117,49145,49133,49205,49247,49211,49282,49304,49304,49289,49312,49310,49285,49306,49277,49277,49235,49221,49204,49237,49273,49325,49383,49384,49375,49417,49399,49389
觀音區,69101,69128,69173,69182,69211,69287,69326,69499,69563,69690,69802,69995,70232,70460,71147,71172,71338,71490,71790,72122,72315,72514,72713,73026,73166,73299,73443,73542,73542,73789,73956,74089,74191,74324,74428,74521,74605,74695,74776,74833,74934,75022,75246,75378,75576,75684,75771,75874
復興區,12380,12389,12352,12345,12369,12378,12391,12442,12461,12491,12545,12656,12699,12712,12717,12726,12774,12853,12898,12924,12946,12943,12976,13053,13088,13088,13089,13104,13104,13079,13093,13093,13095,13137,13157,13210,13221,13210,13189,13199,13200,13185,13166,13189,13183,13209,13231,13261
總計,2269216,2269948,2270689,2270971,2270939,2271969,2272459,2272976,2272812,2272663,2272452,2272391,2271637,2269997,2266913,2263430,2262765,2264082,2266824,2269400,2271464,2273968,2276998,2281464,2286942,2289927,2293509,2296333,2296333,2302465,2306565,2309770,2311870,2314027,2315727,2317445,2319118,2320121,2321618,2322923,2324804,2326581,2328488,2330440,2332998,2334948,2336764,2338648